PMID,TI,AB,JT
39998475,A head-to-head comparison of plasma biomarkers to detect Alzheimer's disease in a memory clinic.,"INTRODUCTION: Blood-based biomarkers for Alzheimer's disease (AD) have been widely studied, but direct comparisons of several biomarkers in clinical settings remain limited. METHODS: In this cross-sectional study, plasma biomarkers from 197 participants in the BIODEGMAR cohort (Hospital del Mar, Barcelona) were analyzed. Participants were classified based on AD cerebrospinal fluid (CSF) core biomarkers. We assessed the ability of plasma p-tau181, p-tau217, p-tau231, t-tau, and Aβ42/40 to classify Aβ pathology status. RESULTS: Plasma p-tau biomarkers had a greater diagnostic performance and larger effect sizes compared to t-tau and Aβ42/40 assays in detecting Aβ pathology. Among them, plasma p-tau217 consistently outperformed the others, demonstrating superior area under the curves. Furthermore, p-tau217 showed the strongest correlation between plasma and CSF levels, underscoring its potential as a reliable surrogate for CSF biomarkers. DISCUSSION: Several plasma biomarkers, targeting different epitopes and using different platforms, demonstrated high performance in detecting AD in a memory clinic setting. HIGHLIGHTS: Plasma p-tau biomarkers demonstrated higher diagnostic performance and larger effect sizes than t-tau and Aβ42/40 assays in detecting Alzheimer's disease. Among the p-tau biomarkers, p-tau217 assays consistently outperformed the others, providing superior classification of Aβ pathology status across different phosphorylation sites. p-tau217 assays showed the strongest correlation between plasma and CSF levels, indicating its potential as a reliable surrogate for CSF biomarkers. Several plasma p-tau biomarkers can be used in a specialized memory clinic to accurately detect Alzheimer's disease.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39450480,Neuronal plasma biomarkers in acute ischemic stroke.,"Early imaging-based detection of acute ischemic stroke (AIS) has improved in the era of reperfusion therapy. Despite of this, prognosis of outcome after AIS remains a challenge. Therefore, parameters that support clinical decision making are sought. Blood-based biomarkers have the potential to provide valuable information in addition to the established prognostic factors. Neuronal biomarkers of acute or degenerative neuronal injury have shown to be reliably detected in plasma. These biomarkers are well-established in neurodegenerative pathology, such as Alzheimer's disease. In this study, we explored the association between stroke diameter and plasma biomarkers for neuronal injury and tau pathophysiology (brain-derived tau [BD-tau], phosphorylated-tau-217 [p-tau21] and neurofilament light [NfL]) in patients (n = 193) admitted to the acute ward, Akershus University Hospital. All patients received a final diagnosis of AIS, transient ischemic attack or stroke mimics. Blood samples were obtained the day after admission. We find that levels of BD-tau (p = .004) and NfL (p = .011) were higher after AIS than in patients with stroke mimics. The cortical stroke diameter correlated with BD-tau (tau-b = 0.64, p < .001) and p-tau217 (tau-b = 0.36, p = .003). Linear regression confirmed BD-tau to be the strongest variable associated with stroke diameter, pointing to the potential clinical value of plasma BD-tau in outcome prediction after AIS.",Journal of cerebral blood flow and metabolism : official journal of the
39701184,Biomarkers of synaptic degeneration in Alzheimer's disease.,"Synapse has been considered a critical neuronal structure in the procession of Alzheimer's disease (AD), attacked by two pathological molecule aggregates (amyloid-β and phosphorylated tau) in the brain, disturbing synaptic homeostasis before disease manifestation and subsequently causing synaptic degeneration. Recently, evidence has emerged indicating that soluble oligomeric amyloid-β (AβO) and tau exert direct toxicity on synapses, causing synaptic damage. Synaptic degeneration is closely linked to cognitive decline in AD, even in the asymptomatic stages of AD. Therefore, the identification of novel, specific, and sensitive biomarkers involved in synaptic degeneration holds significant promise for early diagnosis of AD, reducing synaptic degeneration and loss, and controlling the progression of AD. Currently, a range of biomarkers in cerebrospinal fluid (CSF), such as synaptosome-associated protein 25 (SNAP-25), synaptotagmin-1, growth-associated protein-43 (GAP-43), and neurogranin (Ng), along with functional brain imaging techniques, can detect variations in synaptic density, offering high sensitivity and specificity for AD diagnosis. However, these methods face challenges, including invasiveness, high cost, and limited accessibility. In contrast, biomarkers found in blood or urine provide a minimally invasive, cost-effective, and more accessible alternative to traditional diagnostic methods. Notably, neuron-derived exosomes in blood, which contain synaptic proteins, show variations in concentration that can serve as indicators of synaptic injury, providing an additional, less invasive approach to AD diagnosis and monitoring.",Ageing research reviews
39989429,Novel plasma biomarkers of amyloid plaque pathology and cortical thickness: Evaluation of the NULISA targeted proteomic platform in an ethnically diverse cohort.,"INTRODUCTION: Proteomic evaluation of plasma samples could accelerate the identification of novel Alzheimer's disease (AD) biomarkers. We evaluated the novel NUcleic acid Linked Immuno-Sandwich Assay (NULISA) proteomic method in an ethnically diverse cohort. METHODS: Plasma biomarkers were measured with NULISA in the Human Connectome Project, a predominantly preclinical biracial community cohort in southwestern Pennsylvania. Selected biomarkers were additionally measured using Simoa and Quest immunoassays and compared. RESULTS: On NULISA, phosphorylated tau (p-tau217, p-tau231, and p-tau181), glial fibrillary acidic protein (GFAP), and microtubule-associated protein tau (MAPT-tau) showed the top significant association with amyloid beta (Aβ) positron emission tomography (PET) status, followed by the neuroinflammation markers C-C motif ligand 2 (CCL2), chitotriosidase 1 (CHIT1) and interleukin-8 (CXCL8), and the synaptic marker neurogranin (NRGN). Biomarkers associated with cortical thickness included astrocytic protein chitinase-3-like protein 1 (CHI3L1), cytokine CD40 ligand (CD40LG), brain-derived neurotrophic factor (BDNF), the Aβ-associated metalloprotein TIMP3 (tissue inhibitor of metalloprotein 3), and ficolin 2 (FCN2). Furthermore, moderate to strong between-platform correlations were observed for various assays. DISCUSSION: NULISA multiplexing advantage allowed concurrent assessment of established and novel plasma biomarkers of Aβ pathology and neurodegeneration. HIGHLIGHTS: Classical Alzheimer's disease (AD) biomarkers measured using the NUcleic acid Linked Immuno-Sandwich Assay (NULISA) with next-generation sequencing readout (NULISAseq) CNS panel showed strong concordance with those measured using established immunoassay methods from Quanterix and Quest, with glial fibrillary acidic protein (GFAP) and neurofilament light (NfL) exhibiting the strongest correlation. NULISAseq proteomic analysis identified several plasma biomarkers strongly associated with AD pathology in a biracial community cohort of older adults. Notably, phosphorylated tau-217 (p-tau217), GFAP, and p-tau231 displayed the strongest association with amyloid beta (Aβ) pathology, whereas brain-derived neurotrophic factor (BDNF) was strongly associated with neurodegeneration. We demonstrate that plasma biomarker levels could be influenced by age, sex, apolipoprotein E (APOE) genotype, and self-identified race. Specifically, GFAP, NfL, and surfactant protein D (SFTPD) showed a strong association with age; CD63 and S100 calcium-binding protein B (S100B) with self-identified race; synaptosomal-associated protein 25 (SNAP25) with APOE genotype; and serum amyloid A1 (SAA1) and superoxide dismutase 1 (SOD1) with significant sex differences.",Alzheimer's & dementia : the journal of the Alzheimer's Association
38915268,Late-onset temporal lobe epilepsy: insights from brain atrophy and Alzheimer's disease biomarkers.,"Considering the growing age of the world population, the incidence of epilepsy in older adults is expected to increase significantly. It has been suggested that late-onset temporal lobe epilepsy (LO-TLE) may be neurodegenerative in origin and overlap with Alzheimer's disease (AD). Herein, we aimed to characterize the pattern of cortical atrophy and CSF biomarkers of AD (total and phosphorylated tau and amyloid-β) in a selected population of LO-TLE of unknown origin. We prospectively enrolled individuals with temporal lobe epilepsy onset after the age of 50 and no cognitive impairment. They underwent a structural MRI scan and CSF biomarkers measurement. Imaging and biomarkers data were compared to three retrospectively collected groups: (i) age-sex-matched healthy controls; (ii) patients with mild cognitive impairment (MCI) and abnormal CSF AD biomarkers (MCI-AD); and (iii) patients with MCI and normal CSF AD biomarkers (MCI-noAD). From a pool of 52 patients, 20 consecutive eligible LO-TLE patients with a mean disease duration of 1.8 years were recruited. As control populations, 25 patients with MCI-AD, 25 patients with MCI-noAD and 25 healthy controls were enrolled. CSF biomarkers returned normal values in LO-TLE, significantly different from patients with MCI due to AD. There were no differences in cortico-subcortical atrophy between epilepsy patients and healthy controls, while patients with MCI demonstrated widespread injuries of cortico-subcortical structures. Individuals with LO-TLE, characterized by short disease duration and normal CSF amyloid-β and tau protein levels, showed patterns of cortical thickness and subcortical volumes not significantly different from healthy controls, but highly different from patients with MCI, either due to AD or not.",Brain : a journal of neurology
39559926,"Homocysteine, neurodegenerative biomarkers, and APOE ε4 in neurodegenerative diseases.","INTRODUCTION: Elevated plasma homocysteine (Hcy) is associated with an increased risk of developing neurodegenerative diseases; however, its relationship with the apolipoprotein E (APOE) ε4 allele has not been well characterized. METHODS: Participants clinically diagnosed with Alzheimer's disease or mild cognitive impairment (AD/MCI), frontotemporal dementia, Parkinson's disease, or cerebrovascular disease were stratified by the presence of the APOE ε4 allele. Volumetric magnetic resonance imaging, plasma amyloid/tau/neurodegeneration biomarkers, and cognitive performance were quantified. RESULTS: Across all diagnostic groups, Hcy was associated with lower brain parenchymal fraction and greater neurofilament light chain in APOE ε4 non-carriers only. In AD/MCI, Hcy was associated with phosphorylated tau 217 in APOE ε4 non-carriers, but not in carriers. Exploratory analyses revealed interactions between Hcy and APOE ε4 on memory and visuospatial function. DISCUSSION: Hcy may contribute to neurodegeneration depending on the presence of the APOE ε4 allele and specific disease processes. Trials on vitamin B12 supplementation may consider stratifying by APOE genotype. Highlights Homocysteine (Hcy) was associated with neurodegenerative biomarkers across disease groups. Relationships with Hcy were predominantly found in apolipoprotein E (APOE) ε4 non-carriers. In Alzheimer's disease, associations between Hcy and phosphorylated tau 217 were found in APOE ε4 non-carriers only. Significant interactions existed between Hcy and APOE ε4 status on cognition.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39427525,Novel plasma protein biomarkers: A time-dependent predictive model for Alzheimer's disease.,"BACKGROUND: The accurate prediction of Alzheimer's disease (AD) is crucial for the efficient management of its progression. The objective of this research was to construct a new risk predictive model utilizing novel plasma protein biomarkers for predicting AD incidence in the future and analyze their potential biological correlation with AD incidence. METHODS: A cohort of 440 participants aged 60 years and older from the Alzheimer's Disease Neuroimaging Initiative (ADNI) longitudinal cohort was utilized. The baseline plasma proteomics data was employed to conduct Cox regression, LASSO regression, and cross-validation to identify plasma protein signatures predictive of AD risk. Subsequently, a multivariable Cox proportional hazards model based on these signatures was constructed. The performance of the risk prediction model was evaluated using time-dependent receiver operating characteristic (t-ROC) curves and Kaplan-Meier curves. Additionally, we analyzed the correlations between protein signature expression in plasma and predicted AD risk, the time of AD onset, the expression of protein signatures in cerebrospinal fluid (CSF), the expression of CSF and plasma biomarkers, and APOE ε4 genotypes. Colocalization and Mendelian randomization analyses was conducted to investigate the association between protein features and AD risk. GEO database was utilized to analyze the differential expression of protein features in the blood and brain of AD patients. RESULTS: We identified seven protein signatures (APOE, CGA, CRP, CCL26, CCL20, NRCAM, and PYY) that independently predicted AD incidence in the future. The risk prediction model demonstrated area under the ROC curve (AUC) values of 0.77, 0.76, and 0.77 for predicting AD incidence at 4, 6, and 8 years, respectively. Furthermore, the model remained stable in the range of the 3rd to the 12th year (ROC ≥ 0.74). The low-risk group, as defined by the model, exhibited a significantly later AD onset compared to the high-risk group (P < 0.0001). Moreover, all protein signatures exhibited significant correlations with AD risk (P < 0.001) and the time of AD onset (P < 0.01). There was no strong correlation between the protein expression levels in plasma and CSF, as well as AD CSF biomarkers. APOE, CGA, and CRP exhibited significantly lower expression levels in APOE ε4 positive individuals (P < 0.05). Additionally, colocalization analysis reveals a significant association between AD and SNP loci in APOE. Mendelian randomization analysis shows a negative correlation between NRCAM and AD risk. Transcriptomic analysis indicates a significant downregulation of NRCAM and PYY in the peripheral blood of AD patients (P < 0.01), while APOE, CGA, and NRCAM are significantly downregulated in the brains of AD patients (P < 0.0001). CONCLUSION: Our research has successfully identified protein signatures in plasma as potential risk biomarkers that can independently predict AD onset in the future. Notably, this risk prediction model has demonstrated commendable predictive performance and stability over time. These findings underscore the promising utility of plasma protein signatures in dynamically predicting the risk of AD, thereby facilitating early screening and intervention strategies.",Archives of gerontology and geriatrics
39535341,The case for regulatory approval of amyloid-lowering immunotherapies in Alzheimer's disease based on clearcut biomarker evidence.,"Decades of research have provided evidence that Alzheimer's disease (AD) is caused in part by cerebral accumulation of amyloid beta-protein (Aβ). In 2023, the US Food and Drug Administration gave full regulatory approval to a disease-modifying Aβ antibody for early AD. Secondary prevention trials with Aβ antibodies are underway. We summarize peer-reviewed evidence for targeting Aβ and argue that regulators should consider approving new agents working by similar mechanisms (Aβ antibodies and vaccines) based on robust amyloid lowering and reasonable safety. The urgent need to provide treatments to millions of mildly symptomatic patients suggests that AD should join other diseases for which standard approval is based on significant changes in mechanistically meaningful biomarkers coupled with safety. Robust amyloid lowering in secondary prevention trials of people who have amyloid plaques but are asymptomatic could also provide evidence of a change in the pathophysiological progression of AD as a basis for regulatory approval. HIGHLIGHTS: Thirteen key findings support amyloid beta as a cause of Alzheimer's disease (AD). Three immunotherapies lower amyloid and slow decline, allowing regulatory approval. New such agents could be considered for approval due to amyloid lowering and safety. Urgency suggests AD may join diseases with approval due to a key biomarker + safety.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39776249,Updated appropriate use criteria for amyloid and tau PET: A report from the Alzheimer's Association and Society for Nuclear Medicine and Molecular Imaging Workgroup.,"INTRODUCTION: The Alzheimer's Association and the Society of Nuclear Medicine and Molecular Imaging convened a multidisciplinary workgroup to update appropriate use criteria (AUC) for amyloid positron emission tomography (PET) and to develop AUC for tau PET. METHODS: The workgroup identified key research questions that guided a systematic literature review on clinical amyloid/tau PET. Building on this review, the workgroup developed 17 clinical scenarios in which amyloid or tau PET may be considered. A modified Delphi approach was used to rate each scenario by consensus as ""rarely appropriate,"" ""uncertain,"" or ""appropriate."" Ratings were performed separately for amyloid and tau PET as stand-alone modalities. RESULTS: For amyloid PET, seven scenarios were rated as appropriate, two as uncertain, and eight as rarely appropriate. For tau PET, five scenarios were rated as appropriate, six as uncertain, and six as rarely appropriate. DISCUSSION: AUC for amyloid and tau PET provide expert recommendations for clinical use of these technologies in the evolving landscape of diagnostics and therapeutics for Alzheimer's disease. HIGHLIGHTS: A multidisciplinary workgroup convened by the Alzheimer's Association and the Society of Nuclear Medicine and Molecular Imaging updated the appropriate use criteria (AUC) for amyloid positron emission tomography (PET) and to develop AUC for tau PET. The goal of these updated AUC is to assist clinicians in identifying clinical scenarios in which amyloid or tau PET may be useful for guiding the diagnosis and management of patients who have, or are at risk for, cognitive decline These updated AUC are intended for dementia specialists who spend a significant proportion of their clinical effort caring for patients with cognitive complaints, as well as serve as a general reference for a broader audience interested in implementation of amyloid and tau PET in clinical practice.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39907163,Multifaceted Biomarkers Suggest a Similar Profile of CNS Pathology in Relapsing and Progressive MS.,"BACKGROUND: Relapsing-remitting (RR) and primary progressive (PP) multiple sclerosis (MS) have distinct clinical courses, but underlying pathophysiological differences remain unclear. We compared pathological components between RRMS, PPMS, and other inflammatory and neurodegenerative disorders, leveraging soluble biomarkers and post-mortem pathology. METHODS: Serum and cerebrospinal fluid (CSF) of people diagnosed with (pw) PPMS (n = 104), RRMS (n = 38), Alzheimer's disease (AD, n = 22), neuromyelitis optica spectrum disorder (NMOSD, n = 10), and myelin oligodendrocyte glycoprotein-associated disease (MOGAD, n = 10) were collected. B-cell maturation antigen (BCMA), soluble CD27 (sCD27), osteopontin (OPN), chitinase-3-like-1 (CHI3L1), glial fibrillary acidic protein (GFAP), neurofilament light chain (NfL) and synaptosomal-associated protein-25 (SNAP25) were measured. Lymphocytes (CD20(+), CD138(+), CD3(+)) and pyramidal-tract axonal density in RR-onset (n = 86) and PPMS (n = 45) post-mortem brain tissue were quantified. RESULTS: Soluble and post-mortem tissue biomarkers did not differ between pwRRMS and pwPPMS. Compared to AD, MS had higher CSF sCD27 (p < 0.001) but lower serum CHI3L1 and GFAP, and CSF OPN and SNAP25 (all p < 0.05). Serum OPN was lower in RRMS than NMOSD (p = 0.013). Principal component analyses and K-means clustering showed substantial overlap of RRMS and PPMS biomarkers, distinct from AD. In all pwMS, serum NfL and CSF BCMA correlated with clinical/radiological disease activity, CSF BCMA and sCD27 with inflammatory parameters, and serum GFAP, CSF GFAP, and CSF NfL with Expanded Disability Status Scale (EDSS) score. CONCLUSIONS: Serum and CSF soluble biomarker profiles and post-mortem pathology do not differentiate RRMS from PPMS diagnoses but reflect the extent of inflammation and tissue damage. Detailed assessment of MS-associated inflammation and tissue damage may enhance classification and therapeutic strategies.",European journal of neurology
39572740,Tau filaments are tethered within brain extracellular vesicles in Alzheimer's disease.,"The abnormal assembly of tau protein in neurons is a pathological hallmark of multiple neurodegenerative diseases, including Alzheimer's disease (AD). Assembled tau associates with extracellular vesicles (EVs) in the central nervous system of individuals with AD, which is linked to its clearance and prion-like propagation. However, the identities of the assembled tau species and EVs, as well as how they associate, are not known. Here, we combined quantitative mass spectrometry, cryo-electron tomography and single-particle cryo-electron microscopy to study brain EVs from individuals with AD. We found tau filaments composed mainly of truncated tau that were enclosed within EVs enriched in endo-lysosomal proteins. We observed multiple filament interactions, including with molecules that tethered filaments to the EV limiting membrane, suggesting selective packaging. Our findings will guide studies into the molecular mechanisms of EV-mediated secretion of assembled tau and inform the targeting of EV-associated tau as potential therapeutic and biomarker strategies for AD.",Nature neuroscience
39575672,APOE ε4-associated heterogeneity of neuroimaging biomarkers across the Alzheimer's disease continuum.,"INTRODUCTION: While the role of apolipoprotein E (APOE) ε4 in Alzheimer's disease (AD) susceptibility has been studied extensively, much less is known about the differences in disease presentation in APOE ε4 carriers versus non-carriers. METHODS: To help elucidate these differences, we performed a broad analysis comparing the regional levels of six different neuroimaging biomarkers in the brains of APOE ε4 carriers versus non-carriers who participated in the Alzheimer's Disease Neuroimaging Initiative (ADNI). RESULTS: We observed significant APOE ε4-associated heterogeneity in regional amyloid beta deposition, tau accumulation, glucose uptake, brain volume, cerebral blood flow, and white matter hyperintensities within each AD diagnostic group. We also observed important APOE ε4-associated differences in cognitively unimpaired individuals who converted to mild cognitive impairment/AD versus those who did not convert. DISCUSSION: This observed heterogeneity in neuroimaging biomarkers between APOE ε4 carriers versus non-carriers may have important implications regarding the prevention, diagnosis, and treatment of AD in different subpopulations. HIGHLIGHTS: An extensive study was performed on the apolipoprotein E (APOE) ε4-associated heterogeneity in neuroimaging biomarkers from the Alzheimer's Disease Neuroimaging Initiative. Robust APOE ε4-associated increases in amyloid beta (Aβ) deposition throughout the brain, in every diagnostic group, were observed. APOE ε4-associated increases in tau pathology, decreases in glucose uptake, and increases in brain atrophy, which expand in regional scope and magnitude with disease progression, were observed. Significant sex- and age-related differences in APOE ε4-associated neuroimaging biomarker heterogeneity, with overall increases in pathological presentation in female APOE ε4 carriers, were observed. Regional differences in Aβ deposition, tau accumulation, glucose uptake, ventricle size, and white matter hyperintensities were observed in cognitively normal participants who converted to mild cognitive impairment/Alzheimer's disease, which may hold potential predictive value.",Alzheimer's & dementia : the journal of the Alzheimer's Association
